Epoch,Accuracy,Sparsity_L1,MeanAct_L1,Total_G_FPO,Total_GB_Data,Time_s
1,89.82,0.015480143018066883,0.4304501712322235,2005.92,35.82264,5.9701128005981445
2,92.48,0.010417480021715164,0.6087887287139893,4011.84,71.64528,11.887038469314575
3,93.96,0.007159017026424408,0.7561488747596741,6017.76,107.46792,17.753950357437134
4,94.62,0.005528971552848816,0.8582583665847778,8023.68,143.29056,23.67197275161743
5,95.14,0.0046663410030305386,0.9309631586074829,10029.6,179.1132,29.566710710525513
6,95.4,0.003964029718190432,0.9740095734596252,12035.52,214.93584,35.487462759017944
7,95.48,0.0035978190135210752,1.0133882761001587,14041.44,250.75848,40.878034353256226
8,95.72,0.0033544921316206455,1.0322879552841187,16047.36,286.58112,46.56340312957764
9,95.8,0.0029484049882739782,1.057578206062317,18053.28,322.40376,52.42612648010254
10,96.12,0.002698567695915699,1.0791664123535156,20059.2,358.2264,58.29969596862793
11,96.22,0.0025423176120966673,1.1070555448532104,22065.12,394.04904,64.2666642665863
12,96.24,0.0022395832929760218,1.133354663848877,24071.04,429.87168,70.14836025238037
13,96.36,0.0021728514693677425,1.1395891904830933,26076.96,465.69432,76.03551316261292
14,96.42,0.0020686849020421505,1.1366896629333496,28082.88,501.51696,81.93070316314697
15,96.44,0.001844075508415699,1.1646653413772583,30088.8,537.3396,87.40835046768188
16,96.46,0.0018717447528615594,1.1633739471435547,32094.72,573.16224,93.04525923728943
17,96.62,0.0017325846711173654,1.1855278015136719,34100.64,608.98488,98.86145424842834
18,96.66,0.001538899727165699,1.19257390499115,36106.56,644.80752,104.74309706687927
19,96.66,0.0014005533885210752,1.2124110460281372,38112.48,680.63016,110.63753247261047
20,96.86,0.0015787760494276881,1.2087903022766113,40118.4,716.4528,116.55734610557556
