# =============================================================================
# bPC - Training Metrics & Hardware Cost Tracking Results
# =============================================================================
# 【このファイルについて】
# このCSVファイルは，従来手法である双方向予測符号化(bPC)モデルを用いたMNIST学習の
# エポックごとの精度推移と，ハードウェア実装時の計算コストを記録した実験結果である．
# 密行列（Dense）として計算した場合と，発火の疎性（Sparse）を活用した場合の
# 2種類を計測しているが，bPCは非SNNのためDense値のみ比較に使用した．
# 
# 【各列の解説】
# - Epoch      : 学習エポック数
# - Accuracy   : テストデータに対する分類精度（％）
# - MDL_Total  : ネットワーク全体の最長記述長（本研究では未使用）
# - FLOPs_D(G) : 密行列計算(Dense)を想定した累積浮動小数点演算数（Giga FLOPs）
# - FLOPs_S(G) : 疎行列計算(Sparse)を想定した累積浮動小数点演算数（Giga FLOPs）
# - DM_D(GB)   : 密行列計算時の累積データ移動・メモリアクセス量（Giga Bytes）
# - DM_S(GB)   : 疎行列計算時の累積データ移動・メモリアクセス量（Giga Bytes）
# - Bits_D(Gb) : 密行列計算時のレイヤー間の累積通信データ量（Giga bits）
# - Bits_S(Gb) : 疎行列計算時のレイヤー間の累積通信データ量（Giga bits）
# - Time_s     : 学習開始からの累積実行時間（秒）
# =============================================================================

Epoch,Accuracy,MDL_Total,FLOPs_D(G),FLOPs_S(G),DM_D(GB),DM_S(GB),Bits_D(Gb),Bits_S(Gb),Time_s
1,89.52,36105.21403884888,1333.92,1333.9196178,23.83864,2681.22875916,79.5648,103.58801649,5.37547755241394
2,92.41,23775.61340713501,2667.84,2667.8392489,47.67728,5362.45754758,159.1296,207.176060245,10.612370491027832
3,93.57,19608.60396003723,4001.76,4001.7588548,71.51592,8043.68628056,238.6944,310.76405234,15.85369610786438
4,94.27,17269.75133705139,5335.68,5335.6784572,95.35456,10724.91500584,318.2592,414.35203726,21.07630944252014
5,94.71,15657.380722045898,6669.6,6669.598068,119.1932,13406.1437496,397.824,517.9400394,26.182498931884766
6,95.07,14439.60237121582,8003.52,8003.517676,143.03184,16087.3724872,477.3888,621.5280358,30.901641845703125
7,95.28,13485.81328201294,9337.44,9337.4372735,166.87048,18768.6012017,556.9536,725.116010675,35.69028186798096
8,95.47,12704.953659057617,10671.36,10671.3568241,190.70912,21449.82981302,636.5184,828.703889405,40.38459062576294
9,95.54,12048.157396316528,12005.28,12005.2764069,214.54776,24131.05849518,716.0832,932.291834145,45.03986382484436
10,95.78,11495.162406921387,13339.2,13339.195996,238.3864,26812.2871912,795.648,1035.8797918,49.69959044456482
11,95.87,11017.221096992493,14673.12,14673.1155676,262.22504,29493.51584872,875.2128,1139.46771358,54.393704652786255
12,95.98,10588.912053108215,16007.04,16007.0351553,286.06368,32174.74454166,954.7776,1243.055668365,59.04837155342102
13,96.06,10212.746761322021,17340.96,17340.954715,309.90232,34855.973173,1034.3424,1346.64356575,63.71715545654297
14,96.08,9880.75166797638,18674.88,18674.8742915,333.74096,37537.2018413,1113.9072,1450.231497575,68.62640047073364
15,96.24,9580.14700126648,20008.8,20008.7938414,357.5796,40218.43045108,1193.472,1553.81937487,73.89934349060059
16,96.32,9312.362506866455,21342.72,21342.7133969,381.41824,42899.65907318,1273.0368,1657.407263645,79.10111451148987
17,96.37,9076.835017204285,22676.64,22676.6329272,405.25688,45580.88763984,1352.6016,1760.99510076,84.32120752334595
18,96.36,8863.120559692383,24010.56,24010.5524694,429.09552,48262.11623268,1432.1664,1864.58296227,89.57958221435547
19,96.43,8655.518293380737,25344.48,25344.4720193,452.93416,50943.34484246,1511.7312,1968.170839565,94.79803109169006
20,96.43,8473.970695495605,26678.4,26678.391502,476.7728,53624.5733044,1591.296,2071.7585791,99.99261832237244
