Starting bPC Experiment. Logs will be saved to logs/bPC_log_20260117_215818.txt and logs/bPC_metrics_20260117_215818.csv

============================================================
PHASE 1: Hyperparameter Search (Optuna)
============================================================
Best Search Accuracy: 95.14%
Best Params: {'activation': 'leaky_relu', 'lr_activities': 0.006969142857314765, 'momentum': 0.9, 'lr_weights': 0.0008835886530247323, 'weight_decay': 0.001286611051909769, 'alpha_gen': 0.0001}

============================================================
PHASE 2: Final Training (Fixed Epochs: 50)
Using Params: {'activation': 'leaky_relu', 'lr_activities': 0.006969142857314765, 'momentum': 0.9, 'lr_weights': 0.0008835886530247323, 'weight_decay': 0.001286611051909769, 'alpha_gen': 0.0001, 'T_train': 8, 'T_eval': 100, 'alpha_disc': 1.0}
============================================================
Epoch  | Test Acc   | G-FPO      | GB-Data    | W-Ent    | ID-L1   
---------------------------------------------------------------------------
1      | 92.85      | 3139.50    | 51.17      | 4.01     | 8.82    
2      | 96.38      | 6279.00    | 102.34     | 3.75     | 10.02   
3      | 96.35      | 9418.50    | 153.52     | 3.64     | 14.92   
4      | 97.23      | 12558.00   | 204.69     | 3.55     | 9.23    
5      | 97.24      | 15697.50   | 255.86     | 3.40     | 10.62   
6      | 97.40      | 18837.00   | 307.03     | 3.30     | 14.00   
7      | 97.18      | 21976.50   | 358.20     | 3.24     | 12.05   
8      | 97.74      | 25116.00   | 409.37     | 3.18     | 13.91   
9      | 97.42      | 28255.50   | 460.55     | 3.16     | 11.68   
10     | 97.74      | 31395.00   | 511.72     | 3.14     | 15.84   
11     | 97.55      | 34534.50   | 562.89     | 3.12     | 13.46   
12     | 97.68      | 37674.00   | 614.06     | 3.04     | 12.22   
13     | 98.02      | 40813.50   | 665.23     | 2.93     | 12.40   
14     | 97.80      | 43953.00   | 716.40     | 2.84     | 11.47   
15     | 97.74      | 47092.50   | 767.58     | 2.74     | 11.84   
16     | 98.08      | 50232.00   | 818.75     | 2.66     | 15.32   
17     | 97.90      | 53371.50   | 869.92     | 2.60     | 14.49   
