
============================================================
PHASE 2: Final Training (Epochs: 20)
============================================================
Epoch 01 | Acc: 88.90% | FPO: 2005.9G | DM: 35.8GB
Epoch 02 | Acc: 92.20% | FPO: 4011.8G | DM: 71.6GB
Epoch 03 | Acc: 93.26% | FPO: 6017.8G | DM: 107.5GB
Epoch 04 | Acc: 94.14% | FPO: 8023.7G | DM: 143.3GB
Epoch 05 | Acc: 94.66% | FPO: 10029.6G | DM: 179.1GB
Epoch 06 | Acc: 95.00% | FPO: 12035.5G | DM: 214.9GB
Epoch 07 | Acc: 95.22% | FPO: 14041.4G | DM: 250.8GB
Epoch 08 | Acc: 95.32% | FPO: 16047.4G | DM: 286.6GB
Epoch 09 | Acc: 95.64% | FPO: 18053.3G | DM: 322.4GB
Epoch 10 | Acc: 95.84% | FPO: 20059.2G | DM: 358.2GB
Epoch 11 | Acc: 96.04% | FPO: 22065.1G | DM: 394.0GB
Epoch 12 | Acc: 95.98% | FPO: 24071.0G | DM: 429.9GB
Epoch 13 | Acc: 96.04% | FPO: 26077.0G | DM: 465.7GB
Epoch 14 | Acc: 96.12% | FPO: 28082.9G | DM: 501.5GB
Epoch 15 | Acc: 96.32% | FPO: 30088.8G | DM: 537.3GB
Epoch 16 | Acc: 96.32% | FPO: 32094.7G | DM: 573.2GB
Epoch 17 | Acc: 96.16% | FPO: 34100.6G | DM: 609.0GB
Epoch 18 | Acc: 96.24% | FPO: 36106.6G | DM: 644.8GB
Epoch 19 | Acc: 96.28% | FPO: 38112.5G | DM: 680.6GB
Epoch 20 | Acc: 96.46% | FPO: 40118.4G | DM: 716.5GB
Computing Final RMSE and generating images...
Results saved: logs/error_trends_20260203_210347.png, logs/generated_digits_20260203_210347.png
