Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Weight_Entropy,ID_L1,Time_s
1,92.85,3139.5,51.17168,4.01466178463749,8.816345336903337,21.22962975502014
2,96.38,6279.0,102.34336,3.7529540780373627,10.02153554087013,42.51451873779297
3,96.35,9418.5,153.51504,3.644505058102696,14.919199750013028,64.11747765541077
4,97.23,12558.0,204.68672,3.5475814364738496,9.230611453975621,86.7727382183075
5,97.24,15697.5,255.8584,3.399029475784027,10.619219698364116,110.27890181541443
6,97.4,18837.0,307.03008,3.303077919375379,14.000686631498361,133.8495626449585
7,97.18,21976.5,358.20176,3.236017630538027,12.052992540560236,156.36864399909973
8,97.74,25116.0,409.37344,3.1834907382363147,13.909234727521957,180.9143283367157
9,97.42,28255.5,460.54512,3.1613815501371607,11.676367036725553,203.83002424240112
10,97.74,31395.0,511.7168,3.136509437198088,15.836309584209014,227.1535449028015
11,97.55,34534.5,562.88848,3.1154692220684055,13.464750128048712,249.83708715438843
12,97.68,37674.0,614.06016,3.039684491922878,12.221850131319274,273.0001096725464
13,98.02,40813.5,665.23184,2.9262451856012315,12.399364822500763,295.8410098552704
14,97.8,43953.0,716.40352,2.8379286066613303,11.474083008453931,318.8610155582428
15,97.74,47092.5,767.5752,2.7411800767449006,11.841611991289959,342.1483726501465
16,98.08,50232.0,818.74688,2.6611430393892865,15.320259337046846,364.8471188545227
17,97.9,53371.5,869.91856,2.5952428667061063,14.487613798020204,387.99074721336365
