Epoch,Accuracy,Total_G_FPO,Total_GB_Data,Time_s
1,85.24,2005.92,35.82264,12.28433632850647
2,87.14,4011.84,71.64528,24.632235765457153
3,88.08,6017.76,107.46792,36.91966700553894
4,88.12,8023.68,143.29056,49.33810591697693
5,88.46,10029.6,179.1132,61.5929536819458
6,88.5,12035.52,214.93584,73.87796759605408
7,88.26,14041.44,250.75848,86.19321751594543
8,88.18,16047.36,286.58112,98.50575590133667
9,88.1,18053.28,322.40376,110.77575325965881
10,88.42,20059.2,358.2264,123.15669560432434
11,88.4,22065.12,394.04904,135.46563243865967
12,88.42,24071.04,429.87168,147.80595326423645
13,88.16,26076.96,465.69432,160.19346141815186
14,88.16,28082.88,501.51696,172.48593282699585
15,88.2,30088.8,537.3396,184.81699395179749
16,88.18,32094.72,573.16224,197.22426414489746
17,88.14,34100.64,608.98488,209.50472378730774
18,87.96,36106.56,644.80752,221.86551189422607
19,88.32,38112.48,680.63016,234.11229395866394
20,88.18,40118.4,716.4528,246.42209553718567
21,87.98,42124.32,752.27544,258.77851486206055
22,88.18,44130.24,788.09808,271.0401940345764
23,88.1,46136.16,823.92072,283.320739030838
24,88.02,48142.08,859.74336,295.64829754829407
25,88.72,50148.0,895.566,307.9270067214966
