Epoch,Accuracy,MDL_Total,MDL_Data,MDL_Model,Total_G_FPO,Total_GB_Data,Time_s
1,85.92,35551.94476699829,35151.9446144104,400.0001525878906,2005.92,35.82264,5.744470119476318
2,90.44,21119.691093444824,20699.05083465576,420.6402587890625,4011.84,71.64528,11.338051080703735
3,92.08,16537.0132522583,16089.738899230957,447.27435302734375,6017.76,107.46792,16.86596918106079
4,92.9,14209.274534225464,13733.703062057495,475.57147216796875,8023.68,143.29056,22.616628170013428
5,93.42,12751.103342056274,12247.55701637268,503.54632568359375,10029.6,179.1132,28.66615104675293
6,93.84,11729.770769119263,11198.7135181427,531.0572509765625,12035.52,214.93584,34.68283700942993
7,94.22,10967.672291755676,10409.364247322083,558.3080444335938,14041.44,250.75848,40.74345803260803
8,94.32,10359.272951126099,9774.220949172974,585.052001953125,16047.36,286.58112,46.75478935241699
9,94.64,9875.085766792297,9263.461743354797,611.6240234375,18053.28,322.40376,52.61695599555969
10,94.66,9479.793975830078,8842.014678955078,637.779296875,20059.2,358.2264,58.54953074455261
11,95.0,9148.800518035889,8485.159465789795,663.6410522460938,22065.12,394.04904,64.44535970687866
12,94.78,8867.498436927795,8178.226403236389,689.2720336914062,24071.04,429.87168,70.43588733673096
13,95.2,8615.540962219238,7900.979560852051,714.5614013671875,26076.96,465.69432,76.47935843467712
14,95.34,8383.820168495178,7644.582985877991,739.2371826171875,28082.88,501.51696,82.41958165168762
15,95.38,8197.602655410767,7433.840692520142,763.761962890625,30088.8,537.3396,88.4100821018219
16,95.48,8021.5146770477295,7233.653409957886,787.8612670898438,32094.72,573.16224,94.34740376472473
17,95.32,7869.221430778503,7057.648310661316,811.5731201171875,34100.64,608.98488,99.92338395118713
18,95.26,7745.43363571167,6910.516094207764,834.9175415039062,36106.56,644.80752,105.45627474784851
19,95.56,7617.307585716248,6759.418364524841,857.8892211914062,38112.48,680.63016,110.89139223098755
20,95.64,7493.307750701904,6612.923656463623,880.3840942382812,40118.4,716.4528,116.40013909339905
