Epoch,Accuracy,MDL_Total,FLOPs_D(G),FLOPs_S(G),DM_D(GB),DM_S(GB),Bits_D(Gb),Bits_S(Gb),Time_s
1,87.36,35460.62462234497,2005.92,2005.9062289,35.82264,4031.92170598,106.4448,138.025193845,4.180186033248901
2,91.56,21422.415996551514,4011.84,4011.8151479,71.64528,8063.84885516,212.8896,276.05103344,8.258937120437622
3,93.02,16855.929391860962,6017.76,6017.7268739,107.46792,12095.78165558,319.3344,414.077254745,12.293444871902466
4,93.9,14576.233085632324,8023.68,8023.6404969,143.29056,16127.71825812,425.7792,552.10355928,16.305266857147217
5,94.44,13138.102771759033,10029.6,10029.5558517,179.1132,20159.65834302,532.224,690.130056105,20.36354112625122
6,94.6,12122.802145004272,12035.52,12035.4710259,214.93584,24191.59806882,638.6688,828.156574455,24.374573707580566
7,94.84,11358.559547424316,14041.44,14041.3870135,250.75848,28223.53942576,745.1136,966.18313729,28.389721393585205
8,95.12,10742.41364479065,16047.36,16047.303013,286.58112,32255.48080342,851.5584,1104.209668555,32.44080066680908
9,95.14,10229.951404571533,18053.28,18053.219114,322.40376,36287.42237708,958.0032,1242.23612807,36.45032262802124
10,95.42,9819.626667022705,20059.2,20059.1351247,358.2264,40319.36376846,1064.448,1380.262570365,40.44546627998352
11,95.42,9448.613933563232,22065.12,22065.0513909,394.04904,44351.3056728,1170.8928,1518.28903275,44.45616698265076
12,95.76,9135.040000915527,24071.04,24070.9679714,429.87168,48383.24820854,1277.3376,1656.315523835,48.511088132858276
13,95.76,8859.563158035278,26076.96,26076.8843342,465.69432,52415.19030356,1383.7824,1794.34196039,52.531704902648926
14,95.78,8617.95482826233,28082.88,28082.8012948,501.51696,56447.13360454,1490.2272,1932.368503135,56.56501770019531
15,95.8,8392.786595344543,30088.8,30088.7181315,537.3396,60479.07666024,1596.672,2070.39507171,60.618348598480225
16,95.92,8198.598987579346,32094.72,32094.635524,573.16224,64511.02083496,1703.1168,2208.42171634,64.63008522987366
17,95.94,8027.221816062927,34100.64,34100.552402,608.98488,68542.9639706,1809.5616,2346.44825765,68.62535905838013
18,95.92,7878.482067108154,36106.56,36106.4692807,644.80752,72574.9071187,1916.0064,2484.474912325,72.61541843414307
19,95.98,7738.058682441711,38112.48,38112.3863834,680.63016,76606.850705,2022.4512,2622.50146655,76.67243337631226
20,95.92,7603.413833618164,40118.4,40118.3035484,716.4528,80638.79441744,2128.896,2760.52803656,80.66059732437134
