number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha_gen,params_lr_activities,params_lr_weights,params_momentum,params_weight_decay,state
0,1.044088869571686,2026-01-31 18:21:07.798818,2026-01-31 18:21:55.367639,0 days 00:00:47.568821,gelu,0.0001,0.005712264192635379,2.5036800203325996e-06,0.5,0.0007227523359009428,COMPLETE
1,0.582519715976715,2026-01-31 18:21:55.367670,2026-01-31 18:22:34.681756,0 days 00:00:39.314086,leaky_relu,0.0001,0.014087529879789262,6.146504023838403e-05,0.0,1.5046971324453366e-05,COMPLETE
2,0.608254976463318,2026-01-31 18:22:34.681789,2026-01-31 18:23:14.027340,0 days 00:00:39.345551,leaky_relu,0.0001,0.0011815900478479085,6.407461397584366e-05,0.9,0.00040240144040674383,COMPLETE
3,1.0259944328308106,2026-01-31 18:23:14.027373,2026-01-31 18:24:01.422855,0 days 00:00:47.395482,gelu,0.001,0.0038231628078054694,6.535523794786402e-06,0.5,0.005331040344839442,COMPLETE
4,1.750506592464447,2026-01-31 18:24:01.422888,2026-01-31 18:24:39.529205,0 days 00:00:38.106317,tanh,0.01,0.0006404028634914145,1.0221557612756976e-06,0.0,0.0026506131768877774,COMPLETE
5,2.333938844680786,2026-01-31 18:24:39.529238,2026-01-31 18:24:41.121897,0 days 00:00:01.592659,leaky_relu,0.0001,0.00017155435417974858,9.57424767673319e-06,0.5,1.284039726323402e-05,PRUNED
6,0.5685005411624908,2026-01-31 18:24:41.121940,2026-01-31 18:25:20.505084,0 days 00:00:39.383144,leaky_relu,0.001,0.0024988729521372753,4.9713422024760844e-05,0.9,0.000586307354261329,COMPLETE
7,2.517537441253662,2026-01-31 18:25:20.505121,2026-01-31 18:25:22.396227,0 days 00:00:01.891106,gelu,1.0,0.0012858422860045802,1.2565516463662004e-06,0.0,0.001578707483636193,PRUNED
8,1.9485403950691222,2026-01-31 18:25:22.396249,2026-01-31 18:25:24.286796,0 days 00:00:01.890547,gelu,0.01,0.021220344188692092,2.0733896363526328e-05,0.5,0.0005467093746753474,PRUNED
9,0.6215503201007844,2026-01-31 18:25:24.286817,2026-01-31 18:26:02.386197,0 days 00:00:38.099380,tanh,0.01,0.007571608104849208,3.9423016592302366e-05,0.9,0.0017555151774842218,COMPLETE
10,1.5900579063415528,2026-01-31 18:26:02.386228,2026-01-31 18:26:03.988418,0 days 00:00:01.602190,leaky_relu,0.001,0.037429525390517034,2.2017337638990818e-05,0.9,8.151431147635489e-05,PRUNED
11,1.5197988364219666,2026-01-31 18:26:03.988440,2026-01-31 18:26:05.567545,0 days 00:00:01.579105,leaky_relu,0.1,0.013481162713708607,9.603145138342443e-05,0.0,7.312544959878831e-05,PRUNED
12,1.5218693470954896,2026-01-31 18:26:05.567569,2026-01-31 18:26:07.149881,0 days 00:00:01.582312,leaky_relu,0.001,0.00033605631903523367,3.9380619751084815e-05,0.9,9.400054687934325e-05,PRUNED
13,2.3667231537818907,2026-01-31 18:26:07.149902,2026-01-31 18:26:08.726202,0 days 00:00:01.576300,leaky_relu,1.0,0.0025535088680628828,2.284145434806838e-05,0.0,1.4116675196243339e-05,PRUNED
14,1.6736696162223816,2026-01-31 18:26:08.726224,2026-01-31 18:26:10.298002,0 days 00:00:01.571778,leaky_relu,0.1,0.011900598051405678,9.722157070718e-05,0.9,3.480789934026501e-05,PRUNED
15,0.6177004106521609,2026-01-31 18:26:10.298024,2026-01-31 18:26:49.657105,0 days 00:00:39.359081,leaky_relu,0.0001,0.04991505217754409,4.121612811753482e-05,0.0,0.00016612546282417692,COMPLETE
16,2.2189543100357056,2026-01-31 18:26:49.657143,2026-01-31 18:26:51.178065,0 days 00:00:01.520922,tanh,0.001,0.0015013744478162222,4.222820684046744e-06,0.0,0.0002542985529450437,PRUNED
17,2.0188149720191957,2026-01-31 18:26:51.178086,2026-01-31 18:26:52.749940,0 days 00:00:01.571854,leaky_relu,0.0001,0.00010462792379035016,1.6523510756727267e-05,0.9,3.46694094996109e-05,PRUNED
18,0.5649205385208131,2026-01-31 18:26:52.749962,2026-01-31 18:27:32.151643,0 days 00:00:39.401681,leaky_relu,0.001,0.0034549692255545815,5.7652236557134764e-05,0.0,0.0011400984979283125,COMPLETE
19,2.1886069273948667,2026-01-31 18:27:32.151677,2026-01-31 18:27:33.674792,0 days 00:00:01.523115,tanh,0.001,0.0029738622540330323,9.431731055813186e-06,0.9,0.007059294110919035,PRUNED
