dataset,epoch,train_acc,test_acc,time,synops,total_synops
FashionMNIST,0,48.01227321237994,61.31810897435897,100.62220358848572,158968575416.0,158968575416.0
FashionMNIST,1,65.42989594450374,66.81690705128206,100.13826632499695,232407860356.0,391376435772.0
FashionMNIST,2,68.93509871931697,68.63982371794872,99.64213275909424,253330881280.0,644707317052.0
FashionMNIST,3,70.20577641408751,68.41947115384616,96.17236232757568,263923558062.0,908630875114.0
FashionMNIST,4,71.24132870864462,70.24238782051282,67.62086176872253,261350104356.0,1169980979470.0
FashionMNIST,5,71.85665688367129,68.88020833333333,69.78006863594055,260405559410.0,1430386538880.0
FashionMNIST,6,72.06009871931697,69.36097756410257,72.55890464782715,257680895722.0,1688067434602.0
FashionMNIST,7,72.2385272145144,70.94350961538461,68.59377956390381,253418123882.0,1941485558484.0
FashionMNIST,8,72.19850586979723,71.00360576923077,68.18416023254395,253767349070.0,2195252907554.0
FashionMNIST,9,72.17015741728922,70.4326923076923,68.04174327850342,255625073060.0,2450877980614.0
