dataset,epoch,train_acc,test_acc,time,synops,total_synops
MNIST,0,48.14567769477055,68.41947115384616,69.24862146377563,105424688570.0,105424688570.0
MNIST,1,74.2996264674493,79.01642628205128,68.58809781074524,202955157794.0,308379846364.0
MNIST,2,80.454575773746,82.99278846153847,68.50233435630798,239567105326.0,547946951690.0
MNIST,3,83.46117929562433,84.08453525641026,68.39318299293518,263611386694.0,811558338384.0
MNIST,4,85.12873532550694,86.39823717948718,70.85892748832703,274132316054.0,1085690654438.0
MNIST,5,85.66235325506938,86.0176282051282,71.46715307235718,281596236000.0,1367286890438.0
MNIST,6,85.76073906083245,86.49839743589743,95.11470222473145,277434317748.0,1644721208186.0
MNIST,7,85.84244930629669,86.48838141025641,99.9312093257904,268315315746.0,1913036523932.0
MNIST,8,86.26767609391676,87.0292467948718,100.10398006439209,271236828912.0,2184273352844.0
MNIST,9,86.40274813233725,87.28966346153847,99.41530060768127,274425771734.0,2458699124578.0
