dataset,epoch,train_acc,test_acc,time
MNIST,0,23.807697438633937,44.641426282051285,402.70505261421204
MNIST,1,57.67742796157951,58.303285256410255,393.3069095611572
MNIST,2,83.3961446104589,65.46474358974359,391.81490659713745
MNIST,3,94.87226520811099,67.08733974358974,395.2743937969208
MNIST,4,96.9900613660619,69.20072115384616,425.17794728279114
MNIST,5,97.89721184631803,71.41426282051282,479.7621350288391
MNIST,6,98.10899146211312,69.86177884615384,525.1854722499847
MNIST,7,98.58924759871931,71.30408653846153,578.5617370605469
MNIST,8,99.13453842049093,73.97836538461539,549.71351146698
MNIST,9,98.96945037353255,72.59615384615384,554.2897865772247
MNIST,10,98.6759605122732,73.53766025641026,764.9290976524353
MNIST,11,98.56423425827107,74.61939102564102,757.7287662029266
MNIST,12,98.57423959445038,73.5176282051282,838.2081482410431
MNIST,13,98.56089914621131,72.7363782051282,842.5805833339691
MNIST,14,98.53421824973319,72.5761217948718,801.8183898925781
MNIST,15,98.51587513340448,73.33733974358974,548.8479614257812
MNIST,16,98.41081910352187,73.03685897435898,632.1132113933563
MNIST,17,98.74599786552828,72.20552884615384,850.7298948764801
MNIST,18,98.64260939167556,72.56610576923077,1107.3498828411102
MNIST,19,98.93109658484525,72.80649038461539,1156.241393327713
