dataset,epoch,train_acc,test_acc,time
MNIST,0,43.18970117395944,66.33613782051282,627.281898021698
MNIST,1,85.8607924226254,67.73838141025641,681.6090445518494
MNIST,2,97.24019477054429,71.67467948717949,631.9556424617767
MNIST,3,98.60592315901815,81.17988782051282,624.0772621631622
MNIST,4,98.87773479188901,75.14022435897436,518.2468206882477
MNIST,5,98.85272145144077,71.62459935897436,563.7110555171967
MNIST,6,98.77101120597652,77.70432692307692,638.3255984783173
MNIST,7,98.77434631803628,70.77323717948718,710.2507417201996
MNIST,8,98.69263607257204,63.91225961538461,886.0329964160919
MNIST,9,98.61259338313768,78.72596153846153,852.6507039070129
