dataset,epoch,train_acc,test_acc,time
MNIST,0,100.0,9.805689102564102,449.49222469329834
MNIST,1,100.0,9.805689102564102,470.90617632865906
MNIST,2,100.0,9.805689102564102,431.169704914093
MNIST,3,100.0,9.805689102564102,438.0262060165405
MNIST,4,100.0,9.805689102564102,430.19061040878296
MNIST,5,100.0,9.805689102564102,429.1826934814453
MNIST,6,100.0,9.805689102564102,414.30062317848206
MNIST,7,100.0,9.805689102564102,418.89264941215515
MNIST,8,100.0,9.805689102564102,465.7939863204956
MNIST,9,100.0,9.805689102564102,442.40903902053833
