dataset,epoch,train_acc,test_acc,time
MNIST,0,87.48832710779082,58.693910256410255,462.75788164138794
MNIST,1,99.40134738527215,66.24599358974359,438.38462924957275
MNIST,2,99.38800693703308,64.12259615384616,471.1095669269562
MNIST,3,99.22125133404482,63.22115384615385,419.47087359428406
MNIST,4,99.36132604055496,63.72195512820513,418.9796299934387
MNIST,5,99.30129402347919,63.40144230769231,503.8187816143036
MNIST,6,99.2996264674493,64.70352564102564,499.89082980155945
MNIST,7,99.37299893276415,63.411458333333336,502.45853328704834
MNIST,8,99.30796424759872,64.60336538461539,532.2167370319366
MNIST,9,99.27294557097119,60.076121794871796,645.5411942005157
