dataset,epoch,train_acc,test_acc,time
MNIST,0,55.48125667022412,59.01442307692308,715.3928220272064
MNIST,1,97.77381270010672,62.07932692307692,736.6489326953888
MNIST,2,98.99446371398079,67.23758012820512,934.1431000232697
MNIST,3,99.07784151547492,68.09895833333333,958.9190413951874
MNIST,4,99.08784685165422,64.40304487179488,933.5330927371979
MNIST,5,98.80769743863394,64.83373397435898,937.9070024490356
MNIST,6,98.61259338313768,62.990785256410255,939.2498619556427
MNIST,7,98.76934364994663,66.63661858974359,961.5533080101013
MNIST,8,98.95777748132338,70.18229166666667,915.1272249221802
MNIST,9,99.09284951974387,66.55649038461539,962.4466488361359
MNIST,10,99.1078575240128,66.61658653846153,935.5739121437073
MNIST,11,99.15288153681963,66.1358173076923,951.6998167037964
MNIST,12,99.26961045891142,66.14583333333333,781.0852954387665
MNIST,13,99.06616862326574,66.90705128205128,730.6375958919525
MNIST,14,98.72431963713981,67.33774038461539,720.9955320358276
MNIST,15,98.92109124866596,66.57652243589743,709.6108725070953
MNIST,16,99.00947171824973,62.31971153846154,544.968873500824
MNIST,17,99.08451173959445,65.7451923076923,518.4993262290955
MNIST,18,99.1378735325507,65.29447115384616,513.9715576171875
MNIST,19,99.16121931696905,67.93870192307692,516.6607036590576
